"city","city_development_index","gender","relevent_experience","enrolled_university","education_level","major_discipline","experience","company_size","company_type","last_new_job","training_hours","target"
6,0.92,2,1,2,3,6,14.11875,4.70231481481482,4.61957671957672,2,36,"1"
78,0.776,2,2,2,3,6,16,3,6,2.934,47,"0"
65,0.624,1.95,2,1,3,6,6,5.8,5.975,2.3625,83,"0"
15,0.789,2,2,1.95,3,2,10.43,3.05,6,2.80166666666667,52,"1"
51,0.767,2,1,2,4,6,14.0458333333333,3,2,5,8,"0"
58,0.764,1.94741379310345,1,3,3,6,12,2.92232142857143,4.78409090909091,2,24,"1"
50,0.92,2,1,2,2,5.575,6,3,2,2,24,"0"
84,0.762,2,1,2,3,6,14,1,6,3.25333333333333,18,"1"
6,0.92,2,1,2,3,6,8,3,6,2,46,"1"
6,0.92,1.89168263090677,1,2,3,6,18,8,6,3.76498397435897,123,"0"
65,0.624,2,2,1,2,6,3,3.3212962962963,6,2.1,32,"1"
6,0.92,2,1,2,3,6,6,7,6,2,108,"0"
92,0.913,2,1,2,3,6,11.1290953654189,6,6,4,23,"0"
65,0.624,2,2,1.92555555555556,1.55,5.8,3,4.6,5.7,2.3,24,"0"
65,0.624,1.95,2,1,2,6,6,5.3,5.975,2.2125,26,"0"
14,0.926,2,1,2,3,6,17,4.4996656923639,6,2.7032196969697,18,"0"
6,0.92,1.60117063492063,1,2,3,6,2,3,6,2.04166666666667,106,"0"
65,0.624,1.85,1,2,3,6,3,7,6,3,7,"0"
65,0.624,2,1,2,3,6,8,8,6,2.99792129368216,23,"1"
27,0.827,1,1,2,3,1,5,4.85,5.55,2,132,"1"
48,0.843,2,1,2,4,6,12,4,6,2,68,"0"
14,0.926,2,1,2,4,6,12,4,6,3,50,"0"
5,0.804,1.975,1,2,4,6,11,4.94346624136098,5.99036437246964,2,48,"0"
78,0.776,2,1,2,3,3,9.24349206349206,6,6,2,65,"0"
65,0.624,1.90446613088404,1,2,3,6,6,6,6,2,13,"0"
