"city","city_development_index","gender","relevent_experience","enrolled_university","education_level","major_discipline","experience","company_size","company_type","last_new_job","training_hours","target"
"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",NA,NA,NA,"1",36,"1"
"city_40",0.776,"Male","No relevent experience","no_enrollment","Graduate","STEM","15","50-99","Pvt Ltd",NA,47,"0"
"city_21",0.624,NA,"No relevent experience","Full time course","Graduate","STEM","5",NA,NA,NA,83,"0"
"city_115",0.789,NA,"No relevent experience",NA,"Graduate","Business Degree",NA,NA,"Pvt Ltd",NA,52,"1"
"city_162",0.767,"Male","Has relevent experience","no_enrollment","Masters","STEM",NA,"50-99","Funded Startup","4",8,"0"
"city_176",0.764,NA,"Has relevent experience","Part time course","Graduate","STEM","11",NA,NA,"1",24,"1"
"city_160",0.92,"Male","Has relevent experience","no_enrollment","High School",NA,"5","50-99","Funded Startup","1",24,"0"
"city_46",0.762,"Male","Has relevent experience","no_enrollment","Graduate","STEM","13","<10","Pvt Ltd",NA,18,"1"
"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","7","50-99","Pvt Ltd","1",46,"1"
"city_103",0.92,NA,"Has relevent experience","no_enrollment","Graduate","STEM","17","10000+","Pvt Ltd",NA,123,"0"
"city_21",0.624,NA,"No relevent experience","Full time course","High School",NA,"2",NA,NA,NA,32,"1"
"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","5","5000-9999","Pvt Ltd","1",108,"0"
"city_61",0.913,"Male","Has relevent experience","no_enrollment","Graduate","STEM",NA,"1000-4999","Pvt Ltd","3",23,"0"
"city_21",0.624,"Male","No relevent experience",NA,NA,NA,"2",NA,NA,NA,24,"0"
"city_21",0.624,NA,"No relevent experience","Full time course","High School",NA,"5",NA,NA,NA,26,"0"
"city_114",0.926,"Male","Has relevent experience","no_enrollment","Graduate","STEM","16",NA,"Pvt Ltd",NA,18,"0"
"city_103",0.92,NA,"Has relevent experience","no_enrollment","Graduate","STEM","1","50-99","Pvt Ltd",NA,106,"0"
"city_21",0.624,NA,"Has relevent experience","no_enrollment","Graduate","STEM","2","5000-9999","Pvt Ltd","2",7,"0"
"city_21",0.624,NA,"Has relevent experience","no_enrollment","Graduate","STEM","7","10000+","Pvt Ltd",NA,23,"1"
"city_13",0.827,"Female","Has relevent experience","no_enrollment","Graduate","Arts","4",NA,NA,"1",132,"1"
"city_159",0.843,"Male","Has relevent experience","no_enrollment","Masters","STEM","11","100-500","Pvt Ltd","1",68,"0"
"city_114",0.926,"Male","Has relevent experience","no_enrollment","Masters","STEM","11","100-500","Pvt Ltd","2",50,"0"
"city_102",0.804,NA,"Has relevent experience","no_enrollment","Masters","STEM","10",NA,NA,"1",48,"0"
"city_40",0.776,"Male","Has relevent experience","no_enrollment","Graduate","Humanities",NA,"1000-4999","Pvt Ltd","1",65,"0"
"city_21",0.624,NA,"Has relevent experience","no_enrollment","Graduate","STEM","5","1000-4999","Pvt Ltd","1",13,"0"
"city_67",0.855,NA,"No relevent experience","no_enrollment","High School",NA,"4",NA,NA,NA,22,"0"
"city_21",0.624,NA,"Has relevent experience","Part time course","Graduate","STEM","14","500-999","Pvt Ltd","1",148,"1"
"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","Arts","5",NA,NA,"2",72,"0"
"city_100",0.887,"Male","Has relevent experience","no_enrollment","High School",NA,"11","<10","Pvt Ltd","1",8,"1"
"city_21",0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM","18","50-99","Funded Startup","2",68,"1"
"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",NA,"100-500","Pvt Ltd","3",40,"0"
"city_103",0.92,"Male","Has relevent experience","Part time course","Graduate","STEM","19","5000-9999","Pvt Ltd",NA,141,"0"
"city_103",0.92,"Female","No relevent experience","Full time course","Graduate","STEM","5",NA,NA,"1",24,"0"
"city_160",0.92,"Female","Has relevent experience","no_enrollment","Graduate","STEM",NA,"100-500","Pvt Ltd",NA,82,"0"
"city_16",0.91,"Male","Has relevent experience","no_enrollment","Graduate","Business Degree","12","5000-9999","Pvt Ltd","3",145,"0"
